countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,SpeciesTotal
840,34,ILLINOIS,308,WAYNESVILLE,40.2639127,-89.1297627,2016,2890,11
840,38,KANSAS,308,Ulysses,37.3880114,-101.2492122,2016,2890,14
840,42,LOUISIANA,308,WOODLAWN,30.2754072,-92.962092,2016,2890,7
840,27,GEORGIA,309,MILLEN,32.6387756,-81.8440915,2016,2890,6
840,35,INDIANA,309,WALLACE,39.9820787,-87.3561447,2016,2890,7
840,38,KANSAS,309,Trading Post,38.215197,-94.6125164,2016,2890,14
840,38,KANSAS,310,Le Loup,38.680958,-95.1212223,2016,2890,10
840,63,NORTH CAROLINA,310,OSTWALT,35.6825702,-80.8610815,2016,2890,1
840,27,GEORGIA,311,OUSLEY,30.7949952,-83.4309121,2016,2890,4
840,34,ILLINOIS,311,EUBANKS,39.9614287,-91.3007819,2016,2890,5
840,35,INDIANA,311,NEW CASTLE,39.9464269,-85.0906911,2016,2890,15
840,38,KANSAS,311,Lincolnville,38.5224225,-96.9117521,2016,2890,31
840,42,LOUISIANA,311,FORKED ISLAND,29.5532551,-92.3067829,2016,2890,2
840,63,NORTH CAROLINA,311,JONES CORNER,35.1020747,-77.1960089,2016,2890,3
840,83,TEXAS,311,PORT ACRES,29.9141577,-94.0432501,2016,2890,5
840,27,GEORGIA,312,SHILOH,30.9398503,-83.40811,2016,2890,15
840,34,ILLINOIS,312,CONCORD WEST,39.8173797,-90.4058819,2016,2890,20
840,38,KANSAS,312,Goessel,38.2039494,-97.2078887,2016,2890,35
840,42,LOUISIANA,312,Morgan City,29.9075617,-91.2167209,2016,2890,1
840,63,NORTH CAROLINA,312,DUDLEY,35.2683392,-78.052876,2016,2890,2
840,27,GEORGIA,313,WEBER,31.2372355,-83.1398269,2016,2890,13
840,34,ILLINOIS,313,HARRISTOWN,39.8529571,-89.0850451,2016,2890,10
840,35,INDIANA,313,NEWBERRY,39.125475,-87.0543672,2016,2890,41
