countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,21,DELAWARE,3,HARRINGTON,38.9594417,-75.5366119,2016,3131,Columbidae,14
840,21,DELAWARE,107,HOLLEYVILLE 2,38.6736346,-75.2351111,2016,3131,Columbidae,1
840,25,FLORIDA,25,SCOTTSMOOR,28.7481187,-80.8712309,2016,3131,Columbidae,2
840,25,FLORIDA,31,INDIANTOWN,26.9657323,-80.3854635,2016,3131,Columbidae,7
840,25,FLORIDA,69,KISSIMMEE,28.3225489,-81.3372759,2016,3131,Columbidae,5
840,25,FLORIDA,73,ARBUCKLE,27.7611546,-81.4536353,2016,3131,Columbidae,2
840,25,FLORIDA,77,DAVIE,26.0856265,-80.2292965,2016,3131,Columbidae,17
840,25,FLORIDA,79,HOMESTEAD,25.4912637,-80.5425082,2016,3131,Columbidae,1
840,25,FLORIDA,116,CITRUS PARK,28.0402277,-82.5089729,2016,3131,Columbidae,15
840,25,FLORIDA,175,VERO BEACH,27.8610752,-80.4489977,2016,3131,Columbidae,1
840,25,FLORIDA,283,SUGARLOAF KEY 2,24.597703,-81.5829559,2016,3131,Columbidae,1
840,25,FLORIDA,905,CROOM,28.5817572,-82.1873953,2016,3131,Columbidae,2
840,27,GEORGIA,27,CARTERSVILLE,34.0545254,-84.7868559,2016,3131,Columbidae,1
840,27,GEORGIA,35,MACON,32.9464727,-83.6478349,2016,3131,Columbidae,30
840,27,GEORGIA,51,WADLEY,32.88997,-82.3672037,2016,3131,Columbidae,3
840,27,GEORGIA,57,BOSTON,30.6653217,-83.80112,2016,3131,Columbidae,8
840,27,GEORGIA,309,MILLEN,32.6387756,-81.8440915,2016,3131,Columbidae,2
840,27,GEORGIA,311,OUSLEY,30.7949952,-83.4309121,2016,3131,Columbidae,6
840,27,GEORGIA,314,OWENSBORO,31.911593,-83.3946338,2016,3131,Columbidae,2
840,27,GEORGIA,321,LAKEVIEW,34.3086241,-85.9323092,2016,3131,Columbidae,2
840,27,GEORGIA,337,DAVIS CROSSROADS,34.7223756,-85.424102,2016,3131,Columbidae,4
840,27,GEORGIA,430,STONEY POINT 2,33.6511789,-85.2195466,2016,3131,Columbidae,2
840,33,IDAHO,4,GIFFORD,46.4532553,-116.5560346,2016,3131,Columbidae,1
840,33,IDAHO,10,BAKER,45.0341095,-113.5624829,2016,3131,Columbidae,6
840,33,IDAHO,14,LEADORE,44.722359,-113.5203605,2016,3131,Columbidae,9
840,33,IDAHO,17,BLACKS CREEK,43.455341,-116.0962005,2016,3131,Columbidae,20
840,33,IDAHO,20,CRATERS,43.4619319,-113.5630006,2016,3131,Columbidae,4
840,33,IDAHO,21,SPRINGFIELD,43.1104288,-112.7317982,2016,3131,Columbidae,1
840,33,IDAHO,22,RIRIE,43.5343116,-111.7010272,2016,3131,Columbidae,12
840,33,IDAHO,25,MAGIC MTN,42.3311564,-114.2794532,2016,3131,Columbidae,2
840,33,IDAHO,27,POCATELLO,42.8548166,-112.519388,2016,3131,Columbidae,21
